"n","bytes"
50000,4590026
100000,9643648
150000,14081102
200000,18803732
250000,23765646
300000,27125640
350000,31510166
400000,35995696
450000,40589734
500000,45301580
550000,48253914
600000,51690640
650000,56520782
700000,61527396
750000,64961210
800000,70162216
850000,73598886
900000,79021096
950000,82458970
1000000,88125724
