"n","bytes"
50000,845981
100000,1606581
150000,2300185
200000,3025069
250000,3621541
300000,4328829
350000,5029973
400000,5714305
450000,6164513
500000,6821133
550000,7449869
600000,8149365
650000,8823733
700000,9487213
750000,10136917
800000,10788321
850000,10963693
900000,11704361
950000,12274865
1000000,12944281
