"n","bytes"
50000,506004
100000,972036
150000,1380108
200000,1819356
250000,2280988
300000,2589860
350000,2997704
400000,3414876
450000,3841936
500000,4280496
550000,4551732
600000,4871236
650000,5320868
700000,5786328
750000,6106168
800000,6589472
850000,6909452
900000,7413828
950000,7733528
1000000,8260636
