"n","bytes"
50000,515287
100000,970919
150000,1373895
200000,1834847
250000,2270039
300000,2604967
350000,3014195
400000,3431431
450000,3860771
500000,4304015
550000,4503703
600000,4884115
650000,5333395
700000,5725071
750000,6120215
800000,6517075
850000,6923939
900000,7332671
950000,7752439
1000000,8174503
