"n","bytes"
50000,515459
100000,970871
150000,1373715
200000,1835003
250000,2268711
300000,2603187
350000,3012171
400000,3430223
450000,3858875
500000,4299735
550000,4499515
600000,4878823
650000,5330831
700000,5719199
750000,6115471
800000,6512747
850000,6919271
900000,7326859
950000,7744631
1000000,8163795
