"n","bytes"
50000,1530424
100000,2917768
150000,4297952
200000,5501360
250000,6828268
300000,8069456
350000,9369820
400000,10358992
450000,11563776
500000,12844408
550000,13973276
600000,15216280
650000,16510400
700000,17646588
750000,18316324
800000,19550376
850000,20569608
900000,21843924
950000,22984996
1000000,24337604
