"n","bytes"
50000,11600768
100000,23200768
150000,34800768
200000,46400768
250000,58000768
300000,69600768
350000,81200768
400000,92800768
450000,104400768
500000,116000768
550000,127600768
600000,139200768
650000,150800768
700000,162400768
750000,174000768
800000,185600768
850000,197200768
900000,208800768
950000,220400768
1000000,232000768
