"n","bytes"
50000,286081
100000,544085
150000,802441
200000,1059897
250000,1318321
300000,1577041
350000,1834977
400000,2092697
450000,2350721
500000,2609493
550000,2867837
600000,3127205
650000,3380189
700000,3641385
750000,3899973
800000,4157561
850000,4415697
900000,4672749
950000,4931981
1000000,5190617
