"n","bytes"
50000,352195
100000,674875
150000,998195
200000,1320907
250000,1644143
300000,1967195
350000,2290603
400000,2613447
450000,2936351
500000,3259927
550000,3582879
600000,3905947
650000,4229035
700000,4552431
750000,4874711
800000,5197739
850000,5521563
900000,5844755
950000,6167455
1000000,6491039
