"n","bytes"
50000,2829658
100000,5642958
150000,8454658
200000,11267958
250000,14079658
300000,16892958
350000,19704658
400000,22517958
450000,25329658
500000,28142958
550000,30954658
600000,33767958
650000,36579658
700000,39392958
750000,42204658
800000,45017958
850000,47829658
900000,50642958
950000,53454658
1000000,56267958
