"","n","bytes"
"1",500,7432.0
"2",1000,12628.0
"3",1500,18488.0
"4",2000,26292.0
"5",2500,31432.0
"6",3000,37760.0
"7",3500,45948.0
"8",4000,52732.0
"9",4500,55168.0
"10",5000,61780.0
"11",5500,66988.0
"12",6000,74052.0
"13",6500,81096.0
"14",7000,86104.0
"15",7500,93660.0
"16",8000,98388.0
"17",8500,97800.0
"18",9000,102500.0
"19",9500,109956.0
"20",10000,114796.0
