"n","bytes"
50000,5161674
100000,11055254
150000,16222458
200000,21712610
250000,27483598
300000,31398034
350000,36499598
400000,41709978
450000,47049810
500000,52530102
550000,55973094
600000,59966418
650000,65584074
700000,71404326
750000,75400058
800000,81448694
850000,85442046
900000,91748902
950000,95747714
1000000,102336354
