"n","bytes"
50000,638247
100000,1204203
150000,1772667
200000,2244427
250000,2806131
300000,3400531
350000,3931907
400000,4321759
450000,4858263
500000,5410395
550000,5978343
600000,6396719
650000,6983611
700000,7591955
750000,7749427
800000,8150427
850000,8765623
900000,9166827
950000,9807291
1000000,10208959
