"","n","bytes"
"1",500,38456.0
"2",1000,76456.0
"3",1500,114456.0
"4",2000,152456.0
"5",2500,190456.0
"6",3000,228456.0
"7",3500,266456.0
"8",4000,304456.0
"9",4500,342456.0
"10",5000,380456.0
"11",5500,418456.0
"12",6000,456456.0
"13",6500,494456.0
"14",7000,532456.0
"15",7500,570456.0
"16",8000,608456.0
"17",8500,646456.0
"18",9000,684456.0
"19",9500,722456.0
"20",10000,760456.0
