"n","bytes"
50000,515231
100000,970695
150000,1373951
200000,1834875
250000,2270039
300000,2587547
350000,3014195
400000,3433115
450000,3860687
500000,4303763
550000,4503647
600000,4883835
650000,5333507
700000,5725211
750000,6120355
800000,6517131
850000,6923967
900000,7332755
950000,7752523
1000000,8174503
