"n","bytes"
50000,476527
100000,887855
150000,1260495
200000,1660531
250000,2080799
300000,2363739
350000,2808659
400000,3197843
450000,3597395
500000,4008271
550000,4153519
600000,4562671
650000,4855199
700000,5279083
750000,5719271
800000,6011715
850000,6470535
900000,6763007
950000,7242443
1000000,7534999
