50000,3601229
100000,7201229
150000,10801229
200000,14401229
250000,18001229
300000,21601229
350000,25201229
400000,28801229
450000,32401229
500000,36001229
550000,39601229
600000,43201229
650000,46801229
700000,50401229
750000,54001229
800000,57601229
850000,61201229
900000,64801229
950000,68401229
1000000,72001229
50000,3601536
100000,7201536
150000,10801536
200000,14401536
250000,18001536
300000,21601536
350000,25201536
400000,28801536
450000,32401536
500000,36001536
550000,39601536
600000,43201536
650000,46801536
700000,50401536
750000,54001536
800000,57601536
850000,61201536
900000,64801536
950000,68401536
1000000,72001536
50000,12809572
100000,25609572
150000,38409572
200000,51209572
250000,64009572
300000,76809572
350000,89609572
400000,102409572
450000,115209572
500000,128009572
550000,140809572
600000,153609572
50000,12809572
100000,25609572
150000,38409572
200000,51209572
250000,64009572
300000,76809572
350000,89609572
400000,102409572
450000,115209572
500000,128009572
550000,140809572
600000,153609572
650000,166409572
700000,179209572
750000,192009572
800000,204809572
850000,217609572
900000,230409572
950000,243209572
1000000,256009572
50000,12809572
100000,25609572
150000,38409572
200000,51209572
250000,64009572
300000,76809572
350000,89609572
400000,102409572
450000,115209572
500000,128009572
550000,140809572
600000,153609572
650000,166409572
700000,179209572
750000,192009572
800000,204809572
850000,217609572
900000,230409572
950000,243209572
1000000,256009572
1000,73536
2000,145536
3000,217536
4000,289536
5000,282436
6000,433536
7000,505536
8000,577536
9000,776220
10000,721536
1000,73536
2000,145536
3000,217536
4000,316456
5000,424156
6000,433536
7000,505536
8000,371512
9000,852716
10000,721536
