50000,7152558
100000,14456722
150000,22083186
200000,29114274
250000,36527426
300000,43207166
350000,51387558
400000,58524582
450000,65852474
500000,73399406
550000,81187518
600000,86787602
650000,94848806
700000,103219994
750000,108818902
800000,117536074
850000,123135458
900000,132240510
950000,137840118
1000000,147384578
50000,7152558
100000,14456722
150000,22083186
200000,29114274
250000,36527426
300000,43207166
350000,51387558
400000,58524582
450000,65852474
500000,73399406
550000,81187518
600000,86787602
650000,94848806
700000,103219994
750000,108818902
800000,117536074
850000,123135458
900000,132240510
950000,137840118
1000000,147384578
