"n","bytes"
50000,3800456
100000,7600456
150000,11400456
200000,15200456
250000,19000456
300000,22800456
350000,26600456
400000,30400456
450000,34200456
500000,38000456
550000,41800456
600000,45600456
650000,49400456
700000,53200456
750000,57000456
800000,60800456
850000,64600456
900000,68400456
950000,72200456
1000000,76000456
