"n","bytes"
50000,265279
100000,499567
150000,707203
200000,943635
250000,1176439
300000,1333551
350000,1553275
400000,1767819
450000,1988999
500000,2218007
550000,2324055
600000,2521007
650000,2750547
700000,2954163
750000,3157547
800000,3362131
850000,3571899
900000,3783171
950000,4000499
1000000,4219091
