"n","bytes"
50000,245839
100000,457683
150000,650239
200000,856507
250000,1072891
300000,1220611
350000,1449335
400000,1650191
450000,1856175
500000,2067919
550000,2146751
600000,2357619
650000,2510119
700000,2728283
750000,2954655
800000,3107155
850000,3342759
900000,3495259
950000,3741255
1000000,3893755
