"n","bytes"
50000,1537206
100000,2924418
150000,4304082
200000,5508602
250000,6835018
300000,8076826
350000,9374094
400000,10364582
450000,11569122
500000,12847074
550000,13980258
600000,15220342
650000,16515054
700000,17651806
750000,18320390
800000,19556222
850000,20573934
900000,21848702
950000,22989730
1000000,24339290
