"n","bytes"
50000,115295
100000,227795
150000,340295
200000,452795
250000,565295
300000,677795
350000,790295
400000,902795
450000,1015295
500000,1127795
550000,1240295
600000,1352795
650000,1465295
700000,1577795
750000,1690295
800000,1802795
850000,1915295
900000,2027795
950000,2140295
1000000,2252795
