"n","bytes"
50000,226790
100000,451854
150000,676790
200000,901854
250000,1126790
300000,1351854
350000,1576790
400000,1801854
450000,2026790
500000,2251854
550000,2476790
600000,2701854
650000,2926790
700000,3151854
750000,3376790
800000,3601854
850000,3826790
900000,4051854
950000,4276790
1000000,4501854
