"n","bytes"
50000,115587
100000,228307
150000,340939
200000,453103
250000,567087
300000,680039
350000,792751
400000,904467
450000,1017623
500000,1132539
550000,1244947
600000,1358551
650000,1468291
700000,1584131
750000,1695503
800000,1807587
850000,1920395
900000,2034071
950000,2148567
1000000,2263967
