"n","bytes"
50000,506150
100000,971594
150000,1380170
200000,1819166
250000,2281022
300000,2589586
350000,2997766
400000,3415022
450000,3841858
500000,4280250
550000,4551682
600000,4871494
650000,5320958
700000,5786502
750000,6106146
800000,6589842
850000,6909458
900000,7413834
950000,7733366
1000000,8260558
